,Time,Open,High,Low,Close,Volume
1213,2014-10-09T10:43:00+0530,226.47,226.5,226.47,226.5,1161
1214,2014-10-09T10:44:00+0530,226.49,226.63,226.49,226.53,2952
1215,2014-10-09T10:45:00+0530,226.53,226.69,226.5,226.69,2442
1216,2014-10-09T10:46:00+0530,226.69,226.8,226.6,226.6,1977
1217,2014-10-09T10:47:00+0530,226.6,226.6,226.45,226.45,3399
1218,2014-10-09T10:48:00+0530,226.4,226.67,226.37,226.49,4212
1219,2014-10-09T10:49:00+0530,226.49,226.65,226.49,226.5,1005
1220,2014-10-09T10:50:00+0530,226.65,226.65,226.5,226.5,900
1221,2014-10-09T10:51:00+0530,226.52,226.52,226.43,226.5,2973
1222,2014-10-09T10:52:00+0530,226.52,226.52,226.43,226.43,441
1223,2014-10-09T10:53:00+0530,226.43,226.52,226.37,226.49,4383
1224,2014-10-09T10:54:00+0530,226.5,226.5,226.27,226.33,3045
1225,2014-10-09T10:55:00+0530,226.33,226.33,226.13,226.13,2382
1226,2014-10-09T10:56:00+0530,226.2,226.2,226.09,226.15,5277
1227,2014-10-09T10:57:00+0530,226.15,226.15,226,226.09,12975
1228,2014-10-09T10:58:00+0530,226.12,226.12,226.09,226.1,3633
1229,2014-10-09T10:59:00+0530,226.1,226.15,226.03,226.03,3558
1230,2014-10-09T11:00:00+0530,226.12,226.27,225.99,226.05,8964
1231,2014-10-09T11:01:00+0530,226.03,226.13,226,226.13,1458
1232,2014-10-09T11:02:00+0530,226,226.13,226,226.13,1152
1233,2014-10-09T11:03:00+0530,226.1,226.17,226.07,226.1,1020
1234,2014-10-09T11:04:00+0530,226.17,226.17,226.02,226.15,1551
1235,2014-10-09T11:05:00+0530,226.02,226.15,226,226.15,1968
1236,2014-10-09T11:06:00+0530,226.02,226.15,226,226.09,3609
1237,2014-10-09T11:07:00+0530,226,226,225.03,225.33,23784
1238,2014-10-09T11:08:00+0530,225.35,225.45,225.05,225.22,6333
1239,2014-10-09T11:09:00+0530,225.25,225.35,225.17,225.29,7056
1240,2014-10-09T11:10:00+0530,225.39,225.47,225.3,225.3,8169
1241,2014-10-09T11:11:00+0530,225.33,225.45,225.25,225.4,13632
1242,2014-10-09T11:12:00+0530,225.4,225.43,225.3,225.3,6585
1243,2014-10-09T11:13:00+0530,225.3,225.3,225.17,225.19,4878
1244,2014-10-09T11:14:00+0530,225.2,225.37,225.2,225.29,4785
1245,2014-10-09T11:15:00+0530,225.29,225.5,225.25,225.43,8727
1246,2014-10-09T11:16:00+0530,225.32,225.39,225.03,225.17,15051
1247,2014-10-09T11:17:00+0530,225.17,225.43,225.03,225.25,10779
1248,2014-10-09T11:18:00+0530,225.25,225.39,225.25,225.37,4638
1249,2014-10-09T11:19:00+0530,225.35,225.47,225.33,225.37,1398
1250,2014-10-09T11:20:00+0530,225.47,225.63,225.37,225.43,8607
1251,2014-10-09T11:21:00+0530,225.43,225.63,225.33,225.43,6714
1252,2014-10-09T11:22:00+0530,225.45,225.45,225.17,225.3,8016
1253,2014-10-09T11:23:00+0530,225.33,225.33,225.19,225.27,4560
1254,2014-10-09T11:24:00+0530,225.4,225.4,225.23,225.27,3363
1255,2014-10-09T11:25:00+0530,225.3,225.33,225.17,225.17,1170
1256,2014-10-09T11:26:00+0530,225.23,225.23,225.17,225.17,1608
1257,2014-10-09T11:27:00+0530,225.17,225.2,225.03,225.09,2319
1258,2014-10-09T11:28:00+0530,225.09,225.1,224.53,224.63,30765
1259,2014-10-09T11:29:00+0530,224.6,224.7,224.33,224.49,14079
1260,2014-10-09T11:30:00+0530,224.5,224.67,224.39,224.62,7773
1261,2014-10-09T11:31:00+0530,224.6,224.89,224.6,224.67,4770
1262,2014-10-09T11:32:00+0530,224.73,224.9,224.67,224.69,4827
1263,2014-10-09T11:33:00+0530,224.7,224.7,224.57,224.62,4062
1264,2014-10-09T11:34:00+0530,224.62,224.8,224.6,224.67,4959
1265,2014-10-09T11:35:00+0530,224.69,224.8,224.6,224.6,1683
1266,2014-10-09T11:36:00+0530,224.6,224.9,224.57,224.7,6432
1267,2014-10-09T11:37:00+0530,224.7,224.73,224.62,224.67,3414
1268,2014-10-09T11:38:00+0530,224.62,224.75,224.59,224.67,3921
1269,2014-10-09T11:39:00+0530,224.69,224.89,224.6,224.63,2001
1270,2014-10-09T11:40:00+0530,224.63,224.67,224.5,224.53,7848
1271,2014-10-09T11:41:00+0530,224.53,224.53,223.49,223.83,12747
1272,2014-10-09T11:42:00+0530,223.87,223.93,223.37,223.5,22722
1273,2014-10-09T11:43:00+0530,223.5,223.52,222.95,223.23,37008
1274,2014-10-09T11:44:00+0530,223.19,223.5,222.89,223.37,18849
1275,2014-10-09T11:45:00+0530,223.3,223.49,223,223.07,9570
1276,2014-10-09T11:46:00+0530,223.2,223.33,223.03,223.29,11601
1277,2014-10-09T11:47:00+0530,223.22,223.47,223.12,223.43,7005
1278,2014-10-09T11:48:00+0530,223.43,223.5,223.29,223.42,7521
1279,2014-10-09T11:49:00+0530,223.42,223.6,223.37,223.4,31926
1280,2014-10-09T11:50:00+0530,223.4,223.72,223.4,223.67,2805
1281,2014-10-09T11:51:00+0530,223.67,224.25,223.67,224.15,13905
1282,2014-10-09T11:52:00+0530,224.15,224.4,224.15,224.25,16680
1283,2014-10-09T11:53:00+0530,224.33,224.33,224.17,224.23,2385
1284,2014-10-09T11:54:00+0530,224.23,224.33,224.17,224.17,4983
