id,number_of_retweets,number_of_favorites,created_at,text
999851297598717952,4,6,2018-05-25 03:15:00,b'Netflix just passed Disney and became the world\xe2\x80\x99s biggest media stock.\nhttps://t.co/34puXunNtt https://t.co/SxSx7Kjo1A'
999851162869219328,1,1,2018-05-25 03:14:28,b'Global investors are scrambling to manage India exposure.\nhttps://t.co/dDghy8vwzi https://t.co/kZ9bx9ONB8'
999850039215144960,0,0,2018-05-25 03:10:00,"b""A quick look at the stories you might've missed.\nhttps://t.co/VCEFPDGTEf https://t.co/S5pA78csBd"""
999847522611974145,9,7,2018-05-25 03:00:00,"b""Why didn't Congress oppose electoral bonds earlier? ADR's Anil Verma questions Congress' @SalmanSoz.\xe2\x80\xa6 https://t.co/AH357tfL0D"""
999847123133911040,2,1,2018-05-25 02:58:25,b'IndianOpen #BQLive\n- F&amp;O cues\n- Earnings analysis \n- Stocks to watch \n- Trading strategies https://t.co/3SanCoqXrw'
999845006067154944,2,2,2018-05-25 02:50:00,b'#BQPodcast\n- President Trump canceled his planned summit with North Korean leader Kim Jong Un\n- Centre mulling imme\xe2\x80\xa6 https://t.co/Asr6aEGHTD'
999843747826290688,3,5,2018-05-25 02:45:00,"b'Elon Musk\xe2\x80\x99s wacky idea of creating a credibility rating site for journalists and media might be useful, writes\xe2\x80\xa6 https://t.co/LzOSOQWSNy'"
999842489379909632,1,1,2018-05-25 02:40:00,b'How Indian ADRs fared overnight.\nhttps://t.co/VCEFPDGTEf https://t.co/R8G0ReJ522'
999840043127713792,1,1,2018-05-25 02:30:17,"b""First Word #BQLive\n- Trump's North Korea u-turn \n- Fuel prices hiked for the 12th straight day\n- Congress-JD(S) fac\xe2\x80\xa6 https://t.co/KY7H2o1u02"""
999839972965470209,4,10,2018-05-25 02:30:00,b'#4YearsOfModi | How do you think the Government has fared? Tweet the one hit and miss in your view and we will feat\xe2\x80\xa6 https://t.co/TnBLeAKKw0'
999837456303210496,4,6,2018-05-25 02:20:00,b'Here\xe2\x80\x99s how foreign and local funds played the market on Thursday.\nhttps://t.co/VCEFPDGTEf https://t.co/TlWSGDq22h'
999836198364381191,3,3,2018-05-25 02:15:00,"b'Debt outflows in May at the highest in 17 months, reports @PallaviNahata.\nhttps://t.co/YF9ryhCk0z https://t.co/IwESQM5TuK'"
999835902535876608,1,2,2018-05-25 02:13:49,"b'Amazon explains why Alexa recorded, shared couple\xe2\x80\x99s conversation.\nhttps://t.co/amkS0cCS6R https://t.co/DRPNgERJnq'"
